DATE,Sample ID,Result Parameter Name,Result Value,Result Value Units,Sample Matrix,Measured,Result (ug/L),No_Detect
2023-07-24 00:00:00,KIS-1,1-Methylnaphthalene,0.030100000000000002,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,1-Methylnaphthalene,0.0040999999999999995,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,1-Methylnaphthalene,0.0035,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,2-Methylnaphthalene,0.039799999999999995,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,2-Methylnaphthalene,0.0040999999999999995,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,2-Methylnaphthalene,0.0035,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Acenaphthene,0.0192,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Acenaphthene,0.0036000000000000003,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Acenaphthene,0.0031000000000000003,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Acenaphthylene,0.0658,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Acenaphthylene,0.0035,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Acenaphthylene,0.003,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Anthracene,0.108,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Anthracene,0.0035,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Anthracene,0.003,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Benzo(a)anthracene,0.157,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Benzo(a)anthracene,0.0036000000000000003,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Benzo(a)anthracene,0.005200000000000001,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Benzo(a)pyrene,0.195,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Benzo(a)pyrene,0.0032,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Benzo(a)pyrene,0.0027,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Benzo(b)fluoranthene,0.439,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Benzo(b)fluoranthene,0.0039,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Benzo(b)fluoranthene,0.0037,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,"Benzo(g,h,i)perylene",0.125,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,"Benzo(g,h,i)perylene",0.004900000000000001,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,"Benzo(g,h,i)perylene",0.004200000000000001,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Benzo(k)fluoranthene,0.147,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Benzo(k)fluoranthene,0.0036000000000000003,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Benzo(k)fluoranthene,0.0031000000000000003,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,Chrysene,0.234,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,Chrysene,0.0053,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-3,Chrysene,0.0121,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-1,"Dibenz(a,h)anthracene",0.0334,mg/kg,Soil,,,0
2023-07-24 00:00:00,KIS-2,"Dibenz(a,h)anthracene",0.0039,mg/kg,Soil,,,0
